country,year,throughput,lpi_score,storm_count
Mayotte,2022,547,3.64,6
Mayotte,2023,665,3.5,7
Namibia,2019,803,4,1
Namibia,2020,864,4.19,3
Namibia,2021,797,4.25,9
Namibia,2022,892,4.17,4
Namibia,2023,931,4.26,10
New Caledonia,2019,548,3.35,7
New Caledonia,2020,589,3.34,7
New Caledonia,2021,576,3.03,2
New Caledonia,2022,521,3.04,5
New Caledonia,2023,631,3.55,5
Niger,2019,160,2.46,2
Niger,2020,195,2.05,5
Niger,2021,19,2.13,5
Niger,2022,89,2.27,3
Niger,2023,17,2.43,6
Norfolk Island,2019,759,3.98,1
Norfolk Island,2020,828,3.78,7
Norfolk Island,2021,883,3.69,9
Norfolk Island,2022,854,3.87,4
Norfolk Island,2023,757,3.99,4
Nigeria,2019,668,3.41,4
Nigeria,2020,739,3.56,11
Nigeria,2021,799,3.46,3
Nigeria,2022,720,3.39,6
Nigeria,2023,788,3.74,6
Nicaragua,2019,558,3.17,8
Nicaragua,2020,551,3.06,4
Nicaragua,2021,644,2.94,6
Nicaragua,2022,612,2.7,5
Nicaragua,2023,643,2.96,4
Niue,2019,358,3.11,4
Niue,2020,320,2.94,3
Niue,2021,305,3.31,4
Niue,2022,465,3.32,9
Niue,2023,385,2.96,5
Netherlands,2019,792,2.88,7
Netherlands,2020,809,3.07,7
Netherlands,2021,774,3.38,2
Netherlands,2022,641,3.2,3
Netherlands,2023,762,2.97,4
Norway,2019,860,3.25,6
Norway,2020,1015,3.52,9
Norway,2021,839,3.34,5
Norway,2022,914,3.72,3
Norway,2023,887,3.71,7
Nepal,2019,336,3.98,3
Nepal,2020,325,4.28,7
Nepal,2021,319,4.15,4
Nepal,2022,367,3.93,3
Nepal,2023,342,4.4,0
Nauru,2019,627,4.03,3
Nauru,2020,616,4.44,5
Nauru,2021,580,4.32,7
Nauru,2022,749,4.15,3
Nauru,2023,579,4.27,8
New Zealand,2019,508,3.58,5
New Zealand,2020,508,3.64,9
New Zealand,2021,629,3.95,4
New Zealand,2022,477,4.08,5
New Zealand,2023,508,3.8,6
Oman,2019,412,1.86,5
Oman,2020,456,2.16,7
Oman,2021,324,1.79,6
Oman,2022,470,2.35,4
Oman,2023,401,2.32,4
Pakistan,2019,983,4.6,7
Pakistan,2020,898,4.32,8
Pakistan,2021,1061,4.77,3
Pakistan,2022,1079,4.38,6
Pakistan,2023,892,4.37,2
Panama,2019,271,2.99,3
Panama,2020,193,2.89,3
Panama,2021,184,3.16,7
Panama,2022,267,3.06,2
Panama,2023,299,2.77,1
Pitcairn,2019,291,3.05,5
Pitcairn,2020,144,3.05,3
Pitcairn,2021,258,2.89,3
Pitcairn,2022,258,3.4,3
Pitcairn,2023,168,3.28,8
Peru,2019,201,3.61,8
Peru,2020,256,3.81,5
Peru,2021,337,3.8,6
Peru,2022,331,3.9,7
Peru,2023,242,3.75,7
Philippines,2019,616,4.19,4
Philippines,2020,573,4.08,3
Philippines,2021,561,4.33,4
Philippines,2022,600,4.08,4
Philippines,2023,546,4.09,5
Palau,2019,526,2.77,2
Palau,2020,563,2.33,7
Palau,2021,446,2.69,8
Palau,2022,555,2.9,2
Palau,2023,527,2.47,5
Papua New Guinea,2019,534,3.76,6
Papua New Guinea,2020,560,3.68,6
Papua New Guinea,2021,545,3.55,10
Papua New Guinea,2022,555,3.48,6
Papua New Guinea,2023,624,3.53,4
Poland,2019,197,2.95,6
Poland,2020,156,3.36,4
Poland,2021,106,3,3
Poland,2022,163,3.04,5
Poland,2023,113,3.09,10
Puerto Rico,2019,727,3.17,5
Puerto Rico,2020,830,3.41,7
Puerto Rico,2021,792,3.4,5
Puerto Rico,2022,838,3.23,6
Puerto Rico,2023,780,3.31,2
"Korea, Democratic People's Republic of",2019,536,2.28,4
"Korea, Democratic People's Republic of",2020,623,2.43,3
"Korea, Democratic People's Republic of",2021,610,2.33,3
"Korea, Democratic People's Republic of",2022,505,2.05,2
"Korea, Democratic People's Republic of",2023,529,2.38,3
Portugal,2019,634,3.91,6
Portugal,2020,703,3.88,4
Portugal,2021,694,4.16,8
Portugal,2022,606,3.88,6
Portugal,2023,711,4.05,8
Paraguay,2019,28,2.17,4
Paraguay,2020,180,2.39,8
Paraguay,2021,188,2.29,3
Paraguay,2022,110,2.3,2
Paraguay,2023,184,2,9
"Palestine, State of",2019,739,2.37,4
"Palestine, State of",2020,807,2.32,4
"Palestine, State of",2021,826,2.29,3
"Palestine, State of",2022,755,2.35,4
"Palestine, State of",2023,871,2.42,5
French Polynesia,2019,641,2.06,9
French Polynesia,2020,559,1.96,6
French Polynesia,2021,648,2.05,5
French Polynesia,2022,595,2.13,5
French Polynesia,2023,462,1.74,4
Qatar,2019,392,3.21,6
Qatar,2020,417,3.05,7
Qatar,2021,405,3,6
Qatar,2022,303,3.16,8
Qatar,2023,292,3.05,2
Réunion,2019,371,2.2,6
Réunion,2020,308,2.19,8
Réunion,2021,250,1.99,3
Réunion,2022,436,2.17,4
Réunion,2023,309,2.44,6
Romania,2019,208,3.18,10
Romania,2020,77,3.18,6
Romania,2021,213,3.03,5
Romania,2022,123,2.7,3
Romania,2023,82,3.16,7
Russian Federation,2019,25,2.24,5
Russian Federation,2020,37,2.48,6
Russian Federation,2021,10,2.64,3
Russian Federation,2022,10,2.23,7
Russian Federation,2023,10,2.37,8
Rwanda,2019,38,3.21,7
Rwanda,2020,40,3.34,5
Rwanda,2021,59,3.39,4
Rwanda,2022,90,3.28,5
Rwanda,2023,73,3.51,10
Saudi Arabia,2019,943,4.24,4
Saudi Arabia,2020,916,4.17,5
Saudi Arabia,2021,947,4.34,7
Saudi Arabia,2022,833,4.27,8
Saudi Arabia,2023,880,4.38,5
Sudan,2019,592,2.79,3
Sudan,2020,732,2.59,6
Sudan,2021,691,2.65,2
Sudan,2022,598,2.78,7
Sudan,2023,641,2.63,6
Senegal,2019,294,3.24,4
Senegal,2020,356,3.54,6
Senegal,2021,267,3.47,4
Senegal,2022,360,3.04,5
Senegal,2023,463,3.59,4
Singapore,2019,519,3.85,6
Singapore,2020,414,3.81,5
Singapore,2021,551,3.81,6
Singapore,2022,491,3.62,5
Singapore,2023,553,4.15,3
South Georgia and the South Sandwich Islands,2019,1059,3.54,6
South Georgia and the South Sandwich Islands,2020,957,3.92,2
South Georgia and the South Sandwich Islands,2021,967,3.69,5
South Georgia and the South Sandwich Islands,2022,1029,3.6,4
South Georgia and the South Sandwich Islands,2023,906,3.66,3
"Saint Helena, Ascension and Tristan da Cunha",2019,277,3.13,4
"Saint Helena, Ascension and Tristan da Cunha",2020,255,2.62,7
"Saint Helena, Ascension and Tristan da Cunha",2021,185,2.98,9
"Saint Helena, Ascension and Tristan da Cunha",2022,336,3.06,6
"Saint Helena, Ascension and Tristan da Cunha",2023,239,3.1,4
Svalbard and Jan Mayen,2019,529,2.77,2
Svalbard and Jan Mayen,2020,470,2.77,5
Svalbard and Jan Mayen,2021,540,2.49,8
Svalbard and Jan Mayen,2022,544,2.38,3
Svalbard and Jan Mayen,2023,624,2.5,9
Solomon Islands,2019,261,3.86,6
Solomon Islands,2020,406,3.86,2
Solomon Islands,2021,279,4.06,6
Solomon Islands,2022,344,3.86,2
Solomon Islands,2023,284,3.86,6
Sierra Leone,2019,264,3.65,10
Sierra Leone,2020,287,3.64,5
Sierra Leone,2021,362,3.85,4
Sierra Leone,2022,337,3.8,3
Sierra Leone,2023,262,3.8,5
El Salvador,2019,656,3.28,4
El Salvador,2020,517,3.24,3
El Salvador,2021,557,2.88,4
El Salvador,2022,603,3.27,4
El Salvador,2023,587,2.97,7
San Marino,2019,215,4.33,1
San Marino,2020,237,4.19,6
San Marino,2021,57,3.86,4
San Marino,2022,106,3.91,3
San Marino,2023,200,4.15,4
Somalia,2019,347,3.81,3
Somalia,2020,398,4.12,3
Somalia,2021,312,4.16,6
Somalia,2022,292,3.84,7
Somalia,2023,367,4.21,5
Saint Pierre and Miquelon,2019,240,3.63,4
Saint Pierre and Miquelon,2020,156,3.71,6
Saint Pierre and Miquelon,2021,244,3.33,7
Saint Pierre and Miquelon,2022,306,3.32,10
Saint Pierre and Miquelon,2023,154,3.19,5
Serbia,2019,252,3.4,2
Serbia,2020,260,3.78,9
Serbia,2021,250,3.71,6
Serbia,2022,105,3.38,5
Serbia,2023,185,3.38,5
South Sudan,2019,80,2.7,10
South Sudan,2020,157,2.17,2
South Sudan,2021,108,2.71,1
South Sudan,2022,113,2.64,4
South Sudan,2023,165,2.6,3
Sao Tome and Principe,2019,336,3.61,4
Sao Tome and Principe,2020,257,3.61,3
Sao Tome and Principe,2021,173,3.66,6
Sao Tome and Principe,2022,255,3.78,8
Sao Tome and Principe,2023,231,3.9,8
Suriname,2019,632,3.38,8
Suriname,2020,687,3.34,2
Suriname,2021,591,3.15,5
Suriname,2022,687,3.1,7
Suriname,2023,558,2.91,9
Slovakia,2019,1025,2.22,11
Slovakia,2020,958,2.42,4
Slovakia,2021,1055,2.31,8
Slovakia,2022,926,2.4,4
Slovakia,2023,988,2.17,7
Slovenia,2019,647,4.16,6
Slovenia,2020,617,4.09,4
Slovenia,2021,533,4.55,1
Slovenia,2022,488,4.26,3
Slovenia,2023,510,4.12,7
Sweden,2019,981,2,3
Sweden,2020,928,2.31,5
Sweden,2021,976,1.92,3
Sweden,2022,840,2.03,3
Sweden,2023,905,2.29,5
Eswatini,2019,901,3.85,4
Eswatini,2020,936,3.99,6
Eswatini,2021,933,3.74,6
Eswatini,2022,860,4.12,8
Eswatini,2023,884,3.79,3
Sint Maarten (Dutch part),2019,266,2.43,4
Sint Maarten (Dutch part),2020,331,2.77,8
Sint Maarten (Dutch part),2021,297,2.35,7
Sint Maarten (Dutch part),2022,199,2.57,7
Sint Maarten (Dutch part),2023,353,2.81,5
Seychelles,2019,361,2.57,6
Seychelles,2020,346,2.13,5
Seychelles,2021,402,2.01,11
Seychelles,2022,343,2.06,5
Seychelles,2023,443,2.16,5
Syrian Arab Republic,2019,555,3.71,3
Syrian Arab Republic,2020,458,3.65,5
Syrian Arab Republic,2021,555,4.03,5
Syrian Arab Republic,2022,465,3.58,3
Syrian Arab Republic,2023,414,3.69,8
Turks and Caicos Islands,2019,539,2.65,5
Turks and Caicos Islands,2020,650,2.48,4
Turks and Caicos Islands,2021,646,2.62,8
Turks and Caicos Islands,2022,551,2.3,7
Turks and Caicos Islands,2023,592,2.61,4
Chad,2019,147,3.9,5
Chad,2020,101,3.89,2
Chad,2021,98,4.24,5
Chad,2022,136,3.85,4
Chad,2023,222,4.08,4
Togo,2019,315,3.45,8
Togo,2020,177,3.41,7
Togo,2021,346,3.46,3
Togo,2022,309,3.44,5
Togo,2023,201,3.81,3
Thailand,2019,173,2.45,9
Thailand,2020,95,2.23,2
Thailand,2021,144,2.59,5
Thailand,2022,266,2.17,4
Thailand,2023,261,2.6,7
Tajikistan,2019,529,3.41,3
Tajikistan,2020,513,3.7,4
Tajikistan,2021,522,3.7,7
Tajikistan,2022,471,3.61,3
Tajikistan,2023,450,3.21,2
Tokelau,2019,222,2.71,10
Tokelau,2020,346,3.09,9
Tokelau,2021,287,2.69,5
Tokelau,2022,228,2.51,7
Tokelau,2023,216,2.81,2
Turkmenistan,2019,499,2.81,1
Turkmenistan,2020,445,3.04,2
Turkmenistan,2021,416,2.72,3
Turkmenistan,2022,351,2.79,1
Turkmenistan,2023,398,2.72,7
Timor-Leste,2019,771,2.05,6
Timor-Leste,2020,713,2.19,5
Timor-Leste,2021,709,2.18,2
Timor-Leste,2022,630,2.5,6
Timor-Leste,2023,722,2.04,7
Tonga,2019,211,3.93,9
Tonga,2020,338,3.93,7
Tonga,2021,293,3.94,7
Tonga,2022,339,3.85,3
Tonga,2023,358,3.61,4
Trinidad and Tobago,2019,324,2.33,5
Trinidad and Tobago,2020,314,2.28,9
Trinidad and Tobago,2021,367,2.51,4
Trinidad and Tobago,2022,378,2.51,5
Trinidad and Tobago,2023,349,2.44,6
Tunisia,2019,667,2.72,9
Tunisia,2020,761,3.04,5
Tunisia,2021,770,2.79,5
Tunisia,2022,744,3.04,6
Tunisia,2023,648,2.71,6
Türkiye,2019,733,2.56,1
Türkiye,2020,803,2.25,1
Türkiye,2021,668,2.19,5
Türkiye,2022,687,2.66,7
Türkiye,2023,775,2.52,6
Tuvalu,2019,648,2.8,7
Tuvalu,2020,637,2.41,7
Tuvalu,2021,601,2.78,6
Tuvalu,2022,545,2.71,7
Tuvalu,2023,625,2.74,8
"Taiwan, Province of China",2019,903,3.29,4
"Taiwan, Province of China",2020,992,3.12,11
"Taiwan, Province of China",2021,917,2.99,3
"Taiwan, Province of China",2022,1065,2.94,4
"Taiwan, Province of China",2023,895,3.11,2
"Tanzania, United Republic of",2019,245,3.36,5
"Tanzania, United Republic of",2020,192,3.28,4
"Tanzania, United Republic of",2021,109,3.63,7
"Tanzania, United Republic of",2022,94,3.27,2
"Tanzania, United Republic of",2023,114,3.42,5
Uganda,2019,702,3.11,8
Uganda,2020,704,2.98,8
Uganda,2021,598,3.17,3
Uganda,2022,593,3.03,11
Uganda,2023,648,3.36,1
Ukraine,2019,190,2.71,2
Ukraine,2020,203,2.56,2
Ukraine,2021,294,2.91,3
Ukraine,2022,192,3.05,5
Ukraine,2023,247,2.82,3
United States Minor Outlying Islands,2019,848,3.62,7
United States Minor Outlying Islands,2020,904,3.66,5
United States Minor Outlying Islands,2021,909,4,3
United States Minor Outlying Islands,2022,923,3.87,2
United States Minor Outlying Islands,2023,876,4.17,4
Uruguay,2019,157,3.97,4
Uruguay,2020,138,4.16,4
Uruguay,2021,94,4.2,5
Uruguay,2022,87,4.38,4
Uruguay,2023,33,4.33,6
United States,2019,818,3.71,5
United States,2020,729,3.97,4
United States,2021,845,3.4,3
United States,2022,860,3.61,5
United States,2023,729,3.89,9
Uzbekistan,2019,853,3.92,2
Uzbekistan,2020,693,4.03,5
Uzbekistan,2021,740,3.98,8
Uzbekistan,2022,791,3.83,8
Uzbekistan,2023,797,3.98,0
Holy See (Vatican City State),2019,87,3.26,7
Holy See (Vatican City State),2020,249,2.98,3
Holy See (Vatican City State),2021,90,2.71,4
Holy See (Vatican City State),2022,240,2.9,2
Holy See (Vatican City State),2023,73,3.19,2
Saint Vincent and the Grenadines,2019,495,3.6,2
Saint Vincent and the Grenadines,2020,421,3.58,4
Saint Vincent and the Grenadines,2021,534,3.83,2
Saint Vincent and the Grenadines,2022,582,3.61,5
Saint Vincent and the Grenadines,2023,448,3.53,4
"Venezuela, Bolivarian Republic of",2019,804,2.54,3
"Venezuela, Bolivarian Republic of",2020,729,2.87,2
"Venezuela, Bolivarian Republic of",2021,779,2.64,5
"Venezuela, Bolivarian Republic of",2022,712,2.39,7
"Venezuela, Bolivarian Republic of",2023,849,2.61,8
"Virgin Islands, British",2019,606,2.55,8
"Virgin Islands, British",2020,639,2.32,4
"Virgin Islands, British",2021,755,2.35,4
"Virgin Islands, British",2022,642,2.39,4
"Virgin Islands, British",2023,680,2.51,3
"Virgin Islands, U.S.",2019,701,2.78,9
"Virgin Islands, U.S.",2020,778,2.69,6
"Virgin Islands, U.S.",2021,665,2.63,5
"Virgin Islands, U.S.",2022,730,2.45,4
"Virgin Islands, U.S.",2023,681,2.58,6
Viet Nam,2019,360,3.91,7
Viet Nam,2020,267,3.69,7
Viet Nam,2021,330,3.62,2
Viet Nam,2022,302,3.99,7
Viet Nam,2023,328,4.09,6
Vanuatu,2019,770,2.79,7
Vanuatu,2020,748,2.89,4
Vanuatu,2021,755,2.97,4
Vanuatu,2022,794,2.63,2
Vanuatu,2023,901,2.86,4
Wallis and Futuna,2019,776,2.27,4
Wallis and Futuna,2020,892,2.24,4
Wallis and Futuna,2021,829,2.25,6
Wallis and Futuna,2022,927,2.26,5
Wallis and Futuna,2023,802,2.19,3
Samoa,2019,564,4.39,1
Samoa,2020,513,4.58,2
Samoa,2021,510,4.45,7
Samoa,2022,563,4.31,7
Samoa,2023,543,4.41,4
Yemen,2019,445,3.71,5
Yemen,2020,520,3.92,4
Yemen,2021,547,3.6,5
Yemen,2022,500,3.81,4
Yemen,2023,463,4.09,3
South Africa,2019,397,3.22,7
South Africa,2020,467,3.36,3
South Africa,2021,358,3.47,2
South Africa,2022,316,3.66,3
South Africa,2023,454,3.65,3
Zambia,2019,547,4.05,4
Zambia,2020,476,3.95,7
Zambia,2021,484,4.14,3
Zambia,2022,459,3.89,5
Zambia,2023,431,4.28,3
Zimbabwe,2019,686,2.89,7
Zimbabwe,2020,682,2.9,4
Zimbabwe,2021,712,2.74,7
Zimbabwe,2022,765,2.94,8
Zimbabwe,2023,613,3.05,5
